name,classification,GBS-A_Feb2024,GBS-A_Jun2024,GBS-A_Mar2013,GBS-B_Feb2024,GBS-B_Jun2024,GBS-C_Feb2024,GBS-C_Jun2024,GBS-C_Mar2013,GBS-E_Mar2013,GBS-W_Jun2024,Abundance
GBS-70_Mar13_bin.011,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,82.7,34,1.9,75.8,71.5,5,2.9,17.4,0.7,496.4,788.5
GBS-W_Jun24_bin.016,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,52.1,14.8,1.1,47.5,40.8,2.8,1.3,4.8,0.5,457.4,623.1
GBS-W_Jun24_bin.039,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,2.9,1.1,0.5,2.5,1.5,0.7,0.4,0.3,0.1,455.4,465.3
GBS60_3300020153_50,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,50.9,16.2,2,48.7,41.3,3.5,1.5,6.6,2.5,421.5,594.7
GBS-W_Jun24_bin.029,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,0.6,0.5,0.5,0.5,0.4,0.5,0.3,0.1,0.1,408.5,412
GBS70_3300020139_49,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,57.9,17,2,49.9,44,2.9,1.3,7.4,1.1,398.8,582.3
GBS-W_Jun24_bin.027,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__DSZV01;s__,130.9,121.2,0.4,153.2,150.2,46.7,31.3,88.1,0,380.1,1102.1
GBS-W_Jun24_bin.058,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__,0.9,13.2,9,0.2,0.1,14.2,30.8,0.1,11.4,222.7,302.6
GBS-A_Feb24_bin.012,d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Nanobdellales;f__Nanobdellaceae;g__;s__,14.4,5.7,0.2,6.4,15.5,0.6,0.2,1.3,0,168.3,212.7
GBS-W_Jun24_bin.025,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,11.9,0.5,0,2.4,0.5,0.2,0.1,0.5,0,93.4,109.4
GBS-70_Mar13_bin.010,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,8.5,31.1,0.5,23.1,14.9,14.6,4.6,6.8,0.1,85.2,189.4
Thermocrinis jamiesonii,d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Thermocrinis;s__Thermocrinis jamiesonii,286.5,145.2,35.6,381.6,334.5,63.7,23.4,45.2,12.7,80,1408.4
GBS-B_Feb24_bin.040,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__DSZV01;s__,40,37,0.2,44.6,38.7,25.9,11.2,21.5,0,75.5,294.5
GBS-C_Feb24_bin.144,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__Thermofilaceae;g__Thermofilum_C;s__,52.8,8.2,0.2,10.2,1.3,11.4,0.3,0.1,0,58.5,143
GBS-W_Jun24_bin.031,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,66.5,0.3,0,6.2,0.2,0.1,0,0,0,53.5,126.7
GBS-A_Feb24_bin.058,d__Archaea;p__Nanobdellota;c__Nanobdellia;o__Nanobdellales;f__Nanobdellaceae;g__;s__,6.6,0.3,0.2,0.9,0.6,0.4,0.1,0.2,0,53.2,62.5
GBS70_3300020139_21,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__,1.3,31.9,20.4,0.2,0.2,26,66,0.3,15.1,50.6,211.9
Pyrobaculum sp036833835,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum sp036833835,5.7,2.3,0.2,5.1,4.4,0.6,0.3,0.8,0.1,49.1,68.4
GBS-A_Feb24_bin.016,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,12.8,0.4,0,2.2,0.4,0,0,0.3,0,34.1,50.3
GBS60_3300020153_36,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__,0.4,8.3,6.4,0.1,0.1,10.8,21.2,0.1,49.1,33.6,130.1
GBS85_3300020145_07,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Acidilobaceae;g__DSZV01;s__,417,539.4,1.9,628.9,653.4,193.9,141.5,377.2,0,29.6,2982.7
GBS-W_Jun24_bin.041,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,1.1,0.3,0,0.6,0.5,0.1,0.1,0.3,0,21.4,24.4
